ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27435504;О внесении изменений по объекту адресации;2025-10-01;T-28977607;21;4;2025-10-01;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ФЕДОРОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ РОГНЕДИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;2025-10-01
27435537;О присвоении адреса земельному участку, расположенному в Брянской области, городском округе город Брянск, городе Брянске по переулку Елецкому;2025-10-01;436-Р;23;2;2025-10-01;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-10-01
27435594;О присвоении адреса жилому дому с кадастровым номером 32:20:0490401:165;2025-09-30;40;21;2;2025-10-01;БАКЛАНСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ПОЧЕПСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;2025-10-01
27436009;Об изменении адреса объекту адресации;2025-09-29;104-р;15;2;2025-09-30;СВЕНСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ;2025-09-30
27436191;О присвоении адреса помещению (салон красоты), расположенному в Брянской области, городском округе город Брянск, городе Брянске по улице Котовского, дом 5;2025-10-01;440-Р;23;2;2025-10-01;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-10-01
27436230;О присвоении, изменении и аннулировании адресов;2025-10-01;283;21;2;2025-10-01;Супоневская сельская администрация;2025-10-01
27436353;О присвоении, изменении и аннулировании адресов;2025-10-01;287;21;2;2025-10-01;Супоневская сельская администрация;2025-10-01
27436365;О внесении изменений по объекту адресации;2025-10-01;T-28978971;23;4;2025-10-01;АДМИНИСТРАЦИЯ ПОЧЕПСКОГО РАЙОНА;2025-10-01
27436660;О присвоении адреса садовому дому, расположенному в Брянской области, городском округе город Брянск,             городе Брянске на территории СО Дружба по улице Мичурина;2025-09-30;435-Р;23;2;2025-10-01;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-10-01
27436672;Об аннулировании ранее существовавшего адреса здания (гараж) и присвоении адреса офисному зданию, расположенному в Брянской области, городском округе город Брянск, городе Брянске по улице Красноармейской;2025-10-01;443-Р;23;2;2025-10-01;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-10-01
27436701;О присвоении адреса;2025-10-01;С-134;21;2;2025-10-01;АДМИНИСТРАЦИЯ ЖИРЯТИНСКОГО РАЙОНА;2025-10-01
27436993;О присвоении адреса объекту адресации;2025-10-01;H-28979369;23;3;2025-10-01;АДМИНИСТРАЦИЯ ПОЧЕПСКОГО РАЙОНА;2025-10-01
27437096;О изменении адреса объекту адресации;2025-10-01;72;21;2;2025-10-01;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ВОРОНОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ РОГНЕДИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;2025-10-01
27437606;О присвоении адреса объекту адресации;2025-10-01;H-28980611;23;3;2025-10-01;АДМИНИСТРАЦИЯ ПОЧЕПСКОГО РАЙОНА;2025-10-01
27437380;ОБ АННУЛИРОВАНИИ, ПРИСВОЕНИИ АДРЕСОВ ОБЪЕКТАМ АДРЕСАЦИИ НА ТЕРРИТОРИИ НАВЛИНСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;2025-09-29;540-р;15;2;2025-10-01;АДМИНИСТРАЦИЯ НАВЛИНСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;2025-10-01
27437430;О внесении изменений по объекту адресации;2025-10-01;T-28980193;21;4;2025-10-01;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ФЕДОРОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ РОГНЕДИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;2025-10-01
27437572;О присвоении адреса;2025-10-01;С-135;21;2;2025-10-01;АДМИНИСТРАЦИЯ ЖИРЯТИНСКОГО РАЙОНА;2025-10-01
