ID;LEVEL;NAME;SHORTNAME;DESC;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE
444;6;Разъезд;рзд.;Разъезд;2025-04-15;2022-09-30;2079-06-06;true
105;6;Садовое неком-е товарищество;снт;Садовое некоммерческое товарищество;2025-04-05;1900-01-01;2019-02-14;false
103;6;Село;с;Село;2025-04-05;1900-01-01;2022-09-30;false
106;6;Сельский поселок;сп;Сельский поселок;2025-04-05;1900-01-01;2019-07-22;false
446;6;Слобода;сл.;Слобода;2025-04-15;2022-09-30;2079-06-06;true
108;6;Станция;ст;Станция;2025-04-05;1900-01-01;2022-09-30;false
462;6;Территория;тер.;Территория;2025-04-15;2025-04-05;2025-04-05;false
448;6;Улус;у.;Улус;2025-04-15;2022-09-30;2079-06-06;true
449;6;Хутор;х.;Хутор;2025-04-15;2022-09-30;2079-06-06;true
241;7;Аал;аал;Аал;2025-04-05;2015-11-05;2017-02-14;false
242;7;Аллея;ал.;Аллея;2015-11-05;2015-11-05;2017-02-14;true
246;7;Бульвар;б-р;Бульвар;2015-11-05;2015-11-05;2017-02-14;true
250;7;Гаражно-строительный кооп.;гск;Гаражно-строительный кооператив;2025-04-05;1900-01-01;2017-02-14;false
252;7;Дачное неком-е партнерство;днп;Дачное некоммерческое партнерство;2025-04-05;1900-01-01;2017-02-14;false
253;7;Дорога;дор.;Дорога;2015-11-05;2015-11-05;2017-02-14;true
256;7;Железнодорожная платформа;ж/д пл-ма;Железнодорожная платформа;2025-04-05;2015-11-05;2017-02-14;false
259;7;Жилой район;ж/р;Жилой район;2015-11-05;2015-11-05;2018-12-14;true
261;7;Зона (массив);зона;Зона (массив);2025-04-05;2015-11-05;2025-02-26;false
263;7;Километр;км;Километр;2025-04-05;2015-11-05;2017-02-14;false
269;7;Местечко;м-ко;Местечко;2025-04-05;2015-11-05;2017-02-14;false
272;7;Месторождение;мр.;Месторождение;2025-04-05;1900-01-01;2025-02-26;false
270;7;Микрорайон;мкр;Микрорайон;2025-04-05;1900-01-01;2017-02-15;false
274;7;Набережная;наб.;Набережная;2015-11-05;2015-11-05;2079-06-06;true
275;7;Остров;ост-в;Остров;2015-11-05;2015-11-05;2079-06-06;true
279;7;Переулок;пер.;Переулок;2015-11-05;2015-11-05;2017-02-14;true
284;7;Площадка;пл-ка;Площадка;2015-11-05;2015-11-05;2017-02-14;true
285;7;Порт;порт;Порт;1900-01-01;1900-01-01;2079-06-06;true
286;7;Проезд;пр-д;Проезд;2015-11-05;2015-11-05;2017-02-14;true
277;7;Промышленный район;п/р;Промышленный район;2015-11-05;2015-11-05;2018-12-14;true
293;7;Разъезд;рзд.;Разъезд;2015-11-05;2015-11-05;2017-02-14;true
296;7;Сад;сад;Сад;1900-01-01;1900-01-01;2079-06-06;true
300;7;Садовое товарищество;снт;Садовое товарищество;1900-01-01;1900-01-01;2017-02-14;false
298;7;Сквер;сквер;Сквер;2025-04-15;2015-11-05;2079-06-06;true
303;7;Строение;стр.;Строение;2025-04-05;2015-11-05;2017-02-14;false
304;7;Территория;тер;Территория;2025-04-05;1900-01-01;2017-02-15;false
307;7;Территория ДНО;тер. ДНО;Территория дачных некоммерческих объединений граждан;2015-11-05;2015-11-05;2019-02-14;true
309;7;Территория ДНТ;тер. ДНТ;Территория дачных некоммерческих товариществ;2015-11-05;2015-11-05;2019-02-14;true
311;7;Территория ОНО;тер. ОНО;Территория огороднических некоммерческих объединений граждан;2015-11-05;2015-11-05;2019-02-14;true
313;7;Территория ОНТ;тер. ОНТ;Территория огороднического некоммерческого товарищества;2015-11-05;2015-11-05;2079-06-06;true
315;7;Территория ПК;тер. ПК;Территория потребительского кооператива;2019-02-14;2019-02-14;2079-06-06;true
317;7;Территория СНП;тер. СНП;Территория садоводческих некоммерческих партнерств;2015-11-05;2015-11-05;2019-02-14;true
322;7;Территория СОСН;тер.СОСН;Территория ведения гражданами садоводства или огородничества для собственных нужд;2019-01-01;2019-01-01;2079-06-06;true
320;7;Территория ТСЖ;тер. ТСЖ;Территория товарищества собственников жилья;2019-02-14;2019-02-14;2079-06-06;true
323;7;Территория ФХ;тер.ф.х.;Территория ФХ;2015-11-05;2015-11-05;2018-12-14;true
325;7;Тупик;туп.;Тупик;2015-11-05;2015-11-05;2017-02-14;true
327;7;Усадьба;ус.;Усадьба;2015-11-05;2015-11-05;2018-12-14;true
329;7;Хутор;х.;Хутор;2025-04-05;2015-11-05;2017-02-14;false
331;7;Юрты;ю.;Юрты;2015-11-05;2015-11-05;2079-06-06;true
114;8;Аллея;ал.;Аллея;2025-04-15;2015-11-05;2079-06-06;true
467;8;Берег;б-г;Берег;2025-04-15;2025-04-05;2025-04-05;true
118;8;Бульвар;б-р;Бульвар;1900-01-01;1900-01-01;2079-06-06;true
121;8;Взвоз;взв.;Взвоз;2015-11-05;2015-11-05;2018-11-09;true
122;8;Въезд;въезд;Въезд;2025-04-05;1900-01-01;2015-11-05;false
123;8;Городок;г-к;Городок;2025-04-05;1900-01-01;2015-11-05;false
125;8;Деревня;д;Деревня;2025-04-05;1900-01-01;2015-11-05;false
127;8;Дорога;дор;Дорога;2025-04-05;1900-01-01;2018-11-09;false
471;8;Железнодорожная будка;ж/д б-ка;Железнодорожная будка;2025-04-15;2025-04-05;2025-04-05;false
129;8;Железнодорожная казарма;ж/д_казарм;Железнодорожная казарма;2025-04-05;1900-01-01;2015-11-05;false
131;8;Железнодорожная платформа;ж/д_платф;Железнодорожная платформа;2025-04-05;1900-01-01;2015-11-05;false
475;8;Железнодорожная станция;ж/д ст.;Железнодорожная станция;2025-04-15;2025-04-05;2025-04-05;false
132;8;Железнодорожный пост;ж/д_пост;Железнодорожный пост;2025-04-05;1900-01-01;2015-11-05;false
474;8;Железнодорожный разъезд;ж/д рзд.;Железнодорожный разъезд;2025-04-15;2025-04-05;2025-04-05;false
137;8;Заезд;ззд.;Заезд;2025-04-15;2015-11-05;2018-11-09;true
476;8;Зона;з.;Зона;2025-04-15;2025-04-05;2025-04-05;true
139;8;Казарма;казарма;Казарма;2025-04-05;1900-01-01;2015-11-05;false
141;8;Километр;км;Километр;1900-01-01;1900-01-01;2079-06-06;true
142;8;Кольцо;кольцо;Кольцо;2025-04-05;1900-01-01;2015-11-05;false
145;8;Линия;линия;Линия;2025-04-05;1900-01-01;2015-11-05;false
149;8;Магистраль;мгстр.;Магистраль;2015-11-05;2015-11-05;2079-06-06;true
477;8;Местечко;м-ко;Местечко;2025-04-15;2025-04-05;2025-04-05;false
478;8;Микрорайон;мкр.;Микрорайон;2025-04-15;2025-04-05;2025-04-05;true
152;8;Мост;мост;Мост;2025-04-05;1900-01-01;2015-11-05;false
154;8;Набережная;наб;Набережная;2025-04-05;1900-01-01;2015-11-05;false
479;8;Населенный пункт;нп.;Населенный пункт;2025-04-15;2025-04-05;2025-04-05;false
480;8;Остров;ост-в;Остров;2025-04-15;2025-04-05;2025-04-05;true
166;8;Переезд;переезд;Переезд;2025-04-05;1900-01-01;2015-11-05;false
163;8;Переулок;пер;Переулок;2025-04-05;1900-01-01;2022-09-30;false
168;8;Платформа;платф;Платформа;2025-04-05;1900-01-01;2015-11-05;false
169;8;Площадка;пл-ка;Площадка;1900-01-01;1900-01-01;2018-11-09;true
450;8;Площадь;пл.;Площадь;2025-04-15;2022-09-30;2079-06-06;true
158;8;Поселок;п;Поселок;2025-04-05;1900-01-01;2018-04-16;false
159;8;Почтовое отделение;п/о;Почтовое отделение;2025-04-05;1900-01-01;2015-11-05;false
176;8;Проезд;проезд;Проезд;2025-04-05;1900-01-01;2015-05-11;false
172;8;Просек;пр-к;Просек;2025-04-15;2015-11-05;2018-11-09;true
179;8;Просека;просека;Просека;2025-04-05;1900-01-01;2015-11-05;false
175;8;Проселок;пр-лок;Проселок;2025-04-15;2015-11-05;2018-11-09;true
174;8;Проспект;пр-кт;Проспект;1900-01-01;1900-01-01;2079-06-06;true
182;8;Проулок;проулок;Проулок;2025-04-05;1900-01-01;2015-11-05;false
184;8;Разъезд;рзд.;Разъезд;2025-04-15;2015-11-05;2079-06-06;true
186;8;Ряды;ряды;Ряды;1900-01-01;1900-01-01;2015-11-05;true
194;8;Садовое неком-е товарищество;снт;Садовое некоммерческое товарищество;2025-04-05;1900-01-01;2018-11-09;false
483;8;Село;с.;Село;2025-04-15;2025-04-05;2025-04-05;false
196;8;Сквер;с-р;Сквер;2025-04-15;2015-11-05;2018-11-09;true
484;8;Слобода;сл.;Слобода;2025-04-15;2025-04-05;2025-04-05;false
195;8;Спуск;спуск;Спуск;2025-04-05;1900-01-01;2015-11-05;false
197;8;Станция;ст;Станция;2025-04-05;1900-01-01;2015-11-05;false
198;8;Строение;стр;Строение;2025-04-05;1900-01-01;2015-11-05;false
190;8;Съезд;сзд.;Съезд;2015-11-05;2015-11-05;2018-11-09;true
487;8;Территория;тер.;Территория;2025-04-15;2025-04-05;2025-04-05;true
202;8;Тракт;тракт;Тракт;1900-01-01;1900-01-01;2079-06-06;true
451;8;Тупик;туп.;Тупик;2025-04-15;2022-09-30;2079-06-06;true
205;8;Улица;ул.;Улица;2025-04-15;1900-01-01;2079-06-06;true
208;8;Ферма;ферма;Ферма;2025-04-05;1900-01-01;2015-11-05;false
209;8;Хутор;х;Хутор;2025-04-05;1900-01-01;2015-11-05;false
210;8;Шоссе;ш;Шоссе;2025-04-05;1900-01-01;2022-09-30;false
332;9;Земельный участок;з/у;Земельный участок;2015-11-05;2015-11-05;2079-06-06;true
44;14;Район;р-н;Район;1900-01-01;1900-01-01;2015-11-05;true
488;14;Территория;тер.;Территория;2025-04-15;2025-04-05;2025-04-05;false
334;15;Дачное неком-е партнерство;днп;Дачное некоммерческое партнерство;1900-01-01;1900-01-01;2015-05-11;true
336;15;Микрорайон;мкр;Микрорайон;1900-01-01;1900-01-01;2079-06-06;true
338;15;Промышленная зона;промзона;Промышленная зона;1900-01-01;1900-01-01;2079-06-06;true
340;15;Садовое товарищество;снт;Садовое товарищество;1900-01-01;1900-01-01;2079-06-06;true
342;15;Фермерское хозяйство;ф/х;Фермерское хозяйство;1900-01-01;1900-01-01;2079-06-06;true
343;16;Абонентский ящик;а/я;Абонентский ящик;1900-01-01;1900-01-01;2015-12-31;true
346;16;Арбан;арбан;Арбан;1900-01-01;1900-01-01;2079-06-06;true
348;16;Берег;берег;Берег;1900-01-01;1900-01-01;2079-06-06;true
350;16;Вал;вал;Вал;1900-01-01;1900-01-01;2079-06-06;true
352;16;Выселки(ок);высел;Выселки(ок);1900-01-01;1900-01-01;2079-06-06;true
353;16;Городок;г-к;Городок;1900-01-01;1900-01-01;2079-06-06;true
356;16;Дорога;дор;Дорога;1900-01-01;1900-01-01;2079-06-06;true
357;16;Железнодорожная будка;ж/д_будка;Железнодорожная будка;1900-01-01;1900-01-01;2079-06-06;true
360;16;Железнодорожная платформа;ж/д_платф;Железнодорожная платформа;1900-01-01;1900-01-01;2079-06-06;true
361;16;Железнодорожный пост;ж/д_пост;Железнодорожный пост;1900-01-01;1900-01-01;2015-12-31;true
364;16;Животноводческая точка;жт;Животноводческая точка;1900-01-01;1900-01-01;2015-12-31;true
366;16;Зона;зона;Зона;1900-01-01;1900-01-01;2079-06-06;true
368;16;Квартал;кв-л;Квартал;1900-01-01;1900-01-01;2079-06-06;true
370;16;Кольцо;кольцо;Кольцо;1900-01-01;1900-01-01;2079-06-06;true
372;16;Линия;линия;Линия;1900-01-01;1900-01-01;2079-06-06;true
374;16;Микрорайон;мкр;Микрорайон;1900-01-01;1900-01-01;2079-06-06;true
376;16;Набережная;наб;Набережная;1900-01-01;1900-01-01;2018-01-27;true
378;16;Остров;остров;Остров;1900-01-01;1900-01-01;2079-06-06;true
385;16;Переезд;переезд;Переезд;1900-01-01;1900-01-01;2079-06-06;true
381;16;Планировочный район;пл.р-н;Планировочный район;2020-08-11;1900-01-01;2015-12-31;true
388;16;Площадка;пл-ка;Площадка;1900-01-01;1900-01-01;2079-06-06;true
379;16;Поселок;п;Поселок;1900-01-01;1900-01-01;2079-06-06;true
389;16;Починок;починок;Починок;1900-01-01;1900-01-01;2079-06-06;true
