CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689691025;1895321;f09b3255-945f-4bed-966d-4edad2b64cd0;20;27416430;2025-09-29
689691219;71344873;dd49dc38-a021-4e71-993d-c3ba53c9dabe;20;27416457;2025-09-29
689691381;33603019;d9ee1214-cf99-4a3b-baf4-a38a0a6c7a01;20;27416457;2025-09-29
689692234;58207226;fb1cf654-3c5d-4f31-b7b3-d88e3eb8f467;20;27416457;2025-09-29
689692433;18763220;e25e4359-7f9b-4032-b39c-91ee432f3ce9;20;27416457;2025-09-29
689692613;3352595;661b5552-2a56-4001-a63d-66c2da91ee61;20;27416457;2025-09-29
689692868;55723620;7608baa3-477f-4fe2-9c75-c15b331b13fe;20;27416457;2025-09-29
689692900;40337515;26c943ec-a2a7-4df2-88bc-760fe025d78d;20;27416457;2025-09-29
689694889;174942454;2dd32b4a-1621-4a5d-bdfa-19a03f42a424;10;27417148;2025-09-29
689695408;174942729;0f678372-2ba1-4e8f-9ea9-d0a815b495c5;10;27417239;2025-09-29
689695584;19611207;58103b03-1f60-4cba-840c-7d47f9f2af7a;20;27417274;2025-09-29
689695708;19595484;4dfcad0d-3377-4fb7-bc03-5408c77640f3;20;27417296;2025-09-29
689725666;174956418;19179e6d-5db0-4df4-821e-6535e6ad6c8e;10;27422626;2025-09-30
689730372;74753165;f41b1f67-c40d-42eb-b712-90b8d3a9646b;20;27417955;2025-09-30
689731577;74748145;a122a33e-42d7-445b-94eb-59d2f4d35bab;20;27417955;2025-09-30
689731867;74764994;938fa335-f54d-4a78-92c4-f70429a01c0f;20;27417955;2025-09-30
689732028;83123043;dd2bf50d-377c-472a-9793-d56c96ba6421;20;27417955;2025-09-30
689732470;83042009;490482bd-8102-41ce-9f8b-7e54157ae811;20;27417955;2025-09-30
689732559;83055365;ceedd55e-34a6-4b83-adad-0e5386324604;20;27417955;2025-09-30
689696637;8328008;5b1e0600-46c1-4e99-877d-12835e90f45c;20;27417454;2025-09-29
689696696;78770006;e5c729a8-d706-4c37-b5b6-146447ffb983;20;27417454;2025-09-29
689696793;72966639;fb7e853a-55bf-423a-921d-e5adc8cdad8b;20;27417454;2025-09-29
689697163;174943810;99231359-0423-4614-bd89-d9ff97d15f57;10;27417595;2025-09-29
689697331;174943955;ad024669-57e8-4f5e-b313-5737883d9f5b;10;27417620;2025-09-29
689697554;60184315;678f99e9-ab75-4657-96f8-c0d54c98c160;20;27417686;2025-09-29
689697644;174944164;9d833290-a9f5-470a-8808-20abab8369ed;10;27417718;2025-09-29
689698068;174944275;2e37d87b-c28b-48b0-b5fd-cc6434284480;10;27417765;2025-09-29
689732623;83038456;52adc239-1931-429b-84d9-5d1255513ca4;20;27417955;2025-09-30
689699224;174944609;88791267-26f0-4158-b96f-46e0d90f9fd2;10;27417765;2025-09-29
689699546;174944679;5c04fe67-c399-48b7-929c-438f1f761357;10;27417765;2025-09-29
689699603;174944730;8ff12ec6-1ef8-4724-8fc9-e7fcbd58a0d8;10;27417765;2025-09-29
689699813;43766510;e5074755-0c56-437b-9bb4-c139f54cd810;20;27417924;2025-09-29
689699934;41226726;b7488c30-188d-4cd9-af91-ab0cdbc15886;20;27417955;2025-09-29
689732663;58071214;ede29d92-0a4e-4600-8530-4ebf51d4a783;20;27423473;2025-09-30
689732769;83084521;9aab35d4-b2d7-43f4-ace2-49d5b8faeb54;20;27417955;2025-09-30
689732811;58058198;aaba95e9-4a85-45d4-805a-a58edace2a72;20;27423510;2025-09-30
689732859;83019569;768920c0-cafd-4c3c-87e5-686c491b9459;20;27417955;2025-09-30
689712224;174951340;2fc7b666-9059-4c82-b863-308393759a17;10;27420544;2025-09-30
689712249;4845398;e8f81c0d-b277-4f74-bcab-8f7787cac7d1;20;27420564;2025-09-30
689712381;53801202;5c7513b7-4a65-47d8-95f9-feffeea669f1;20;27417955;2025-09-30
689712504;64001802;05f8949c-6b9b-4dd9-99bc-0900ab025b4d;20;27417955;2025-09-30
689712620;49108829;4c95fba3-2ebc-4377-8d7c-8971f168635e;20;27417955;2025-09-30
689712656;13181798;b2c1c944-e502-4e58-b9b1-5e808a7ab58b;20;27417955;2025-09-30
689732950;41230794;c0dd2694-4f18-44d6-8565-4a3d220533ac;20;27417955;2025-09-30
689717611;32149357;3ffcce3f-1bf1-46bc-8081-d6d77699a724;20;27417955;2025-09-30
